,phrase,label,sentiment,subjectivity,language,count
Ukraine,Ukraine,LOC,-0.029642507345739387,0.051501795625204044,de,2042
Deutschland,Deutschland,LOC,0.04418631878240515,0.09623682890115405,de,1993
Russland,Russland,LOC,-0.03974182444061956,0.06547140944731306,de,1743
Berlin,Berlin,LOC,0.010317523056653484,0.017127799736495388,de,1265
Bayern,Bayern,LOC,0.017021748779405224,0.08189081225033289,de,751
Washington,Washington,LOC,-0.002868217054263565,0.0,de,645
Br\u00fcssel,Br\u00fcssel,LOC,0.0,0.0,de,613
\u00fcberall,\u00fcberall,LOC,0.0,0.0,de,613
China,China,LOC,-0.005660989456609883,0.04825628548256286,de,411
Moskau,Moskau,LOC,-0.04270833333333334,0.030833333333333334,de,400
Kiew,Kiew,LOC,-0.05477477477477477,0.052702702702702706,de,370
Russlands,Russlands,LOC,-0.024628597957288754,0.043454038997214485,de,359
Europa,Europa,LOC,-0.03796033994334278,0.0679886685552408,de,353
USA,USA,LOC,-0.06270025839793283,0.03488372093023256,de,258
Deutschlands,Deutschlands,LOC,0.04248633879781419,0.0894808743169399,de,244
Kreml,Kreml,LOC,-0.1016483516483516,0.031043956043956045,de,182
London,London,LOC,-0.10221579961464353,0.04046242774566474,de,173
Bund,Bund,LOC,0.09018737672583821,0.07001972386587771,de,169
Brüssel,Brüssel,LOC,-0.002056277056277048,0.016233766233766232,de-DE,154
Düsseldorf,Düsseldorf,LOC,0.07781609195402299,0.06781609195402298,de,145
München,München,LOC,0.05745920745920746,0.038461538461538464,de,143
Frankreich,Frankreich,LOC,0.02306763285024154,0.06159420289855073,de,138
Chinas,Chinas,LOC,0.015866666666666668,0.056,de,125
Bachmut,Bachmut,LOC,-0.13446666666666668,0.044,de,125
Gaspreisbremse,Gaspreisbremse,LOC,0.09480874316939887,0.08469945355191258,de,122
Katar,Katar,LOC,0.06208333333333334,0.05083333333333333,de,120
Österreich,Österreich,LOC,-0.06581196581196583,0.05555555555555555,de,117
Staaten,Staaten,LOC,-0.043695652173913045,0.10869565217391305,de,115
Türkei,Türkei,LOC,0.017913043478260875,0.06486956521739132,de,115
den USA,den USA,LOC,0.03282282282282281,0.15015015015015012,de,111
Polen,Polen,LOC,0.052857142857142866,0.06190476190476191,de,105
Großbritannien,Großbritannien,LOC,-0.001020408163265298,0.07653061224489796,de,98
Bayerns,Bayerns,LOC,0.05116279069767441,0.03488372093023256,de,86
Cherson,Cherson,LOC,-0.03554216867469879,0.018072289156626505,de,83
Belarus,Belarus,LOC,-0.07439759036144578,0.02530120481927711,de,83
Europas,Europas,LOC,-0.03353658536585367,0.07317073170731707,de,82
S,S,LOC,-0.4740259740259739,0.0,de,77
Scholz,Scholz,LOC,0.0736842105263158,0.008552631578947369,de-DE,76
Strompreisbremse,Strompreisbremse,LOC,-0.010810810810810815,0.05405405405405406,de,74
Freier,Freier,LOC,0.7000000000000008,0.0,de,74
Preisbremsen,Preisbremsen,LOC,0.06761904761904762,0.15,de,70
Schweiz,Schweiz,LOC,0.039855072463768106,0.15942028985507245,de,69
Japan,Japan,LOC,0.10217391304347827,0.057971014492753624,de,69
Wilhelmshaven,Wilhelmshaven,LOC,-0.07121212121212121,0.015151515151515152,de,66
Stadt,Stadt,LOC,0.10885416666666668,0.0625,de,64
Peking,Peking,LOC,0.07433862433862434,0.03968253968253968,de,63
Teilen</li><li,Teilen</li><li,LOC,0.03833333333333333,0.8750000000000001,de,60
Drucken</li><li,Drucken</li><li,LOC,0.03833333333333333,0.8750000000000001,de,60
E-Mail</li><li,E-Mail</li><li,LOC,0.03833333333333333,0.8750000000000001,de,60
Spanien,Spanien,LOC,0.0635593220338983,0.12146892655367231,de,59
Norwegen,Norwegen,LOC,0.06101694915254238,0.022598870056497175,de,59
Paris,Paris,LOC,-0.002586206896551723,0.02586206896551724,de,58
Ukraine-Kriegs,Ukraine-Kriegs,LOC,-0.14224137931034486,0.12931034482758622,de,58
Russen,Russen,LOC,-0.20773809523809522,0.19345238095238093,de,56
Iran,Iran,LOC,-0.044642857142857144,0.05357142857142857,de,56
Kommentare</li><li,Kommentare</li><li,LOC,0.03272727272727272,0.8727272727272729,de,55
Indien,Indien,LOC,0.030555555555555555,0.009259259259259259,de,54
US-Präsident,US-Präsident,LOC,0.09166666666666666,0.05555555555555555,de,54
Landes,Landes,LOC,0.06759259259259259,0.12962962962962962,de,54
Hamburg,Hamburg,LOC,0.00943396226415094,0.0660377358490566,de,53
Italien,Italien,LOC,0.16764705882352943,0.09803921568627451,de,51
Frankfurt,Frankfurt,LOC,0.10098039215686275,0.049019607843137254,de,51
Krim,Krim,LOC,-0.06938775510204082,0.030612244897959183,de,49
Wien,Wien,LOC,0.03369565217391304,0.06521739130434782,de,46
Donezk,Donezk,LOC,-0.18295454545454548,0.045454545454545456,de,44
