,phrase,label,sentiment,subjectivity,language,count
"Some of the information stored on your device,","Some of the information stored on your device,",MISC,,,de,305
…,…,MISC,2.197916666666665,2.083333333333333,de,283
russischen,russischen,MISC,,,de,162
n-tv,n-tv,MISC,,,de,135
\u00fcberall.,\u00fcberall.,MISC,,,de,135
deutschen,deutschen,MISC,,,de-DE,125
"nan When browsing with ads:
","nan When browsing with ads:
",MISC,,,de,118
deutsche,deutsche,MISC,,,de,112
russische,russische,MISC,,,de,90
russisches,russisches,MISC,,,de,71
ukrainische,ukrainische,MISC,,,de,66
"nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,64
"When browsing with ads:
","When browsing with ads:
",MISC,,,de,62
ukrainischen,ukrainischen,MISC,,,de,59
"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,46
Ukraine-Krieg,Ukraine-Krieg,MISC,-0.20392156862745098,0.10784313725490195,de-DE,43
Krieg in der Ukraine,Krieg in der Ukraine,MISC,,,de,39
Deutschen,Deutschen,MISC,,,de,37
russischer,russischer,MISC,,,de,34
europäische,europäische,MISC,,,de,32
Deutsche,Deutsche,MISC,,,de,29
russischem,russischem,MISC,,,de,28
europäischen,europäischen,MISC,,,de,28
Liveticker:,Liveticker:,MISC,,,de,26
Berliner,Berliner,MISC,,,,25
Krieg,Krieg,MISC,,,de,23
Ukrainer,Ukrainer,MISC,,,de,22
Krieges,Krieges,MISC,,,de,21
ePaper,ePaper,MISC,,,de,21
Liveticker: +++,Liveticker: +++,MISC,,,de,20
Winter.,Winter.,MISC,0.75,0.0,de,20
Hamburger,Hamburger,MISC,,,de-DE,20
LNG-Terminal,LNG-Terminal,MISC,,,de,19
News,News,MISC,,,de,19
Russen,Russen,MISC,-1.0875,0.625,de,17
Russland-Ukraine-Krieg: Das,Russland-Ukraine-Krieg: Das,MISC,,,de,16
Nord Stream 2,Nord Stream 2,MISC,-0.15000000000000002,1.0,de,16
Millionen,Millionen,MISC,1.2499999999999998,0.4,de,16
Kriegs,Kriegs,MISC,,,de,16
Gaskrise,Gaskrise,MISC,-1.0,1.0,de-DE,16
DER SPIEGEL.,DER SPIEGEL.,MISC,,,de,15
Zeit,Zeit,MISC,,,de,15
Pandemie,Pandemie,MISC,,,de,15
Russlands Krieg,Russlands Krieg,MISC,,,de,14
Weltklimakonferenz,Weltklimakonferenz,MISC,,,de,14
Gas-Pipelines Nord Stream 1,Gas-Pipelines Nord Stream 1,MISC,,,de,13
Nacht.,Nacht.,MISC,,,de,13
britische,britische,MISC,,,de,12
Gaspreisbremse,Gaspreisbremse,MISC,0.04374999999999999,0.0,de,12
soziale,soziale,MISC,,,de,11
Gaspreisbremse.,Gaspreisbremse.,MISC,0.09999999999999998,0.25,de,11
Weihnachten,Weihnachten,MISC,,,de,11
Kriegsbeginn,Kriegsbeginn,MISC,,,de,10
Russische,Russische,MISC,,,de,10
News des,News des,MISC,,,de,10
Angriffskriegs,Angriffskriegs,MISC,,,de,10
Münchner,Münchner,MISC,,,de,10
französische,französische,MISC,,,de,9
deutscher,deutscher,MISC,,,de,9
Tages,Tages,MISC,,,de,9
Ukraine.,Ukraine.,MISC,0.7,0.0,de,9
sächsische,sächsische,MISC,,,de,9
Krieg in der Ukraine:,Krieg in der Ukraine:,MISC,,,de,9
Werbeerlösen,Werbeerlösen,MISC,,,de,8
