,phrase,label,sentiment,subjectivity,language,count
EU,EU,ORG,-0.03640350877192981,0.039473684210526314,de,38
SPD,SPD,ORG,0.128,0.0,de,25
EU-Kommission,EU-Kommission,ORG,0.10952380952380951,0.0,de,21
FOCUS,FOCUS,ORG,-0.13392857142857142,0.21428571428571427,de,14
Bundestag,Bundestag,ORG,0.11666666666666665,0.0,de,12
Gazprom,Gazprom,ORG,0.17499999999999996,0.25,de,12
LNG,LNG,ORG,0.13999999999999999,0.1,de,10
Rosneft,Rosneft,ORG,-0.4,0.0,de,10
Uniper,Uniper,ORG,-0.135,0.05,de,10
SPIEGEL,SPIEGEL,ORG,0.7000000000000001,0.0,de,9
E-Paper,E-Paper,ORG,0.7000000000000001,0.0,de,9
WELT,WELT,ORG,0.4148148148148148,0.1111111111111111,de,9
CSU,CSU,ORG,0.07777777777777778,0.2222222222222222,de,9
EZB,EZB,ORG,-0.037500000000000006,0.0,de,8
CDU,CDU,ORG,0.0,0.0,de,8
FDP,FDP,ORG,-0.04375,0.1875,de,8
FC Bayern,FC Bayern,ORG,0.33571428571428574,0.0,de,7
Europäischen Union,Europäischen Union,ORG,-0.2857142857142857,0.0,de,7
Grüne,Grüne,ORG,0.2214285714285714,0.14285714285714285,de,7
EnBW,EnBW,ORG,0.7000000000000001,0.0,de,6
…,…,ORG,0.0,0.16666666666666666,de,6
Ukraine,Ukraine,ORG,-0.8333333333333334,0.0,de,6
NATO,NATO,ORG,0.0,0.0,de,6
Opec+,Opec+,ORG,0.0,0.3333333333333333,de,6
RT DE.,RT DE.,ORG,-0.11666666666666665,0.08333333333333333,de,6
WirtschaftsWoche Online,WirtschaftsWoche Online,ORG,0.7,0.0,de,5
EU-Ebene,EU-Ebene,ORG,0.4,0.0,de,5
Berliner Morgenpost,Berliner Morgenpost,ORG,0.0,0.0,de-DE,5
Bundesnetzagentur,Bundesnetzagentur,ORG,-0.13999999999999999,0.0,de,5
Securing Energy for Europe,Securing Energy for Europe,ORG,-0.2,0.0,de,5
BASF,BASF,ORG,-0.13333333333333333,0.0,de,5
Grünen,Grünen,ORG,-0.27999999999999997,0.0,de,5
Deutschland,Deutschland,ORG,0.0,0.0,de,5
Internationale Energieagentur,Internationale Energieagentur,ORG,-0.2,0.0,de,5
NZZ,NZZ,ORG,0.0,0.75,de,4
KURZMELDUNGEN,KURZMELDUNGEN,ORG,0.0,0.0,de,4
E-Control,E-Control,ORG,0.175,0.0,de,4
"Schweiz, International, Sport, Digital, Wirtschaft, Auto &","Schweiz, International, Sport, Digital, Wirtschaft, Auto &",ORG,0.0,0.75,de,4
VNG,VNG,ORG,0.5249999999999999,0.0,de,4
ÖVP,ÖVP,ORG,0.425,0.0,de,4
Europäische Zentralbank,Europäische Zentralbank,ORG,0.35,0.0,de,4
Ifo-Instituts,Ifo-Instituts,ORG,-0.5249999999999999,0.0,de,4
Eurozone,Eurozone,ORG,0.0,0.25,de,4
russische Armee,russische Armee,ORG,0.0,0.0,de,4
Partei,Partei,ORG,0.6,0.0,de,4
Europäischen Zentralbank,Europäischen Zentralbank,ORG,0.5,0.0,de,4
ntv.de,ntv.de,ORG,0.25,0.0,de,4
Euroraum,Euroraum,ORG,0.175,0.0,de,4
IMK,IMK,ORG,-0.05000000000000001,0.0,de,3
Bund-Länder-Gipfel,Bund-Länder-Gipfel,ORG,0.0,0.6666666666666666,de,3
Kamerun,Kamerun,ORG,0.85,0.0,de,3
GIE,GIE,ORG,0.0,0.0,de,3
Shell,Shell,ORG,0.0,0.0,de,3
Notenbank,Notenbank,ORG,0.0,0.3333333333333333,de,3
TotalEnergies,TotalEnergies,ORG,0.0,0.0,de,3
Wirtschaftsminister,Wirtschaftsminister,ORG,0.0,0.0,de,3
Europäischen Gerichtshof,Europäischen Gerichtshof,ORG,0.0,0.0,de,3
Kommission,Kommission,ORG,-0.3333333333333333,0.0,de,3
EU-Länder,EU-Länder,ORG,0.0,0.3333333333333333,de,3
Terminkontrakts TTF,Terminkontrakts TTF,ORG,0.0,0.6666666666666666,de,3
RWE,RWE,ORG,-0.2333333333333333,0.6666666666666666,de,3
Gazprom.,Gazprom.,ORG,0.0,0.0,de,3
EU-Staaten,EU-Staaten,ORG,0.4666666666666666,0.0,de,3
FC Bayern München,FC Bayern München,ORG,0.2333333333333333,0.0,de,3
Gaspreisbremse,Gaspreisbremse,ORG,0.2333333333333333,0.26666666666666666,de,3
Potsdam-Institut für Klimafolgenforschung.,Potsdam-Institut für Klimafolgenforschung.,ORG,0.0,0.0,de,3
DER SPIEGEL.,DER SPIEGEL.,ORG,0.2333333333333333,0.0,de,3
Gasag,Gasag,ORG,0.18333333333333332,0.0,de,3
Die Grünen,Die Grünen,ORG,-0.4666666666666666,0.0,de,3
Europäischen Volkspartei,Europäischen Volkspartei,ORG,0.0,0.0,de,2
SBB,SBB,ORG,0.0,0.0,de,2
Deutsche Bank,Deutsche Bank,ORG,-0.3333333333333333,0.0,de,2
Klimakonferenz?,Klimakonferenz?,ORG,0.0,0.0,de,2
Mercedes-Benz,Mercedes-Benz,ORG,-0.3333333333333333,0.0,de,2
Rote Armee,Rote Armee,ORG,0.0,0.0,de,2
OMV,OMV,ORG,-0.7,0.0,de,2
THE,THE,ORG,0.0,0.0,de,2
"Foto: dpa)
Frankfurt","Foto: dpa)
Frankfurt",ORG,0.0,0.5,de,2
Versorgers Hamburg Energie,Versorgers Hamburg Energie,ORG,-0.5,0.0,de,2
we…,we…,ORG,0.0,0.0,de,2
Tarifpaket,Tarifpaket,ORG,0.0,0.0,de,2
Gewerkschaft,Gewerkschaft,ORG,-0.35,0.0,de,2
AfD,AfD,ORG,0.35,0.0,de,2
Aiwanger,Aiwanger,ORG,0.0,0.0,de,2
IG BCE,IG BCE,ORG,-0.35,0.0,de,2
Gruppe G,Gruppe G,ORG,0.85,0.0,de,2
Deutschen Mieterbund…,Deutschen Mieterbund…,ORG,-1.0,0.0,de,2
Berufsfeuerwehr,Berufsfeuerwehr,ORG,0.0,0.0,de,2
russischen Streitkräfte,russischen Streitkräfte,ORG,-0.35,0.0,de,2
dpa,dpa,ORG,0.0,0.0,de,2
Chemieriese BASF,Chemieriese BASF,ORG,-1.0,0.0,de,2
Demokraten,Demokraten,ORG,0.85,0.0,de,2
Europäischen Kommission,Europäischen Kommission,ORG,-0.7,0.0,de,2
Deutsche Umwelthilfe,Deutsche Umwelthilfe,ORG,-0.35,0.0,de,2
Lyft,Lyft,ORG,0.35,0.0,de,2
Covestro,Covestro,ORG,-0.5,0.0,de,2
Eon,Eon,ORG,-0.5,0.0,de,2
DWD,DWD,ORG,1.0,0.0,de,2
Werder Bremen,Werder Bremen,ORG,0.0,0.0,de,2
Leibniz-Instituts für Wirtschaftsforschung Halle,Leibniz-Instituts für Wirtschaftsforschung Halle,ORG,-0.5,0.0,de,2
IWH,IWH,ORG,-0.5,0.0,de,2
Deutsche Wetterdienst,Deutsche Wetterdienst,ORG,1.0,0.0,de,2
Gazprom Germania,Gazprom Germania,ORG,0.0,0.0,de,2
EU-Ministerin,EU-Ministerin,ORG,0.09999999999999998,0.125,de,2
NATO-Staaten,NATO-Staaten,ORG,0.0,0.0,de,2
Verband GIE,Verband GIE,ORG,1.0,0.0,de,2
Bund,Bund,ORG,-1.0,0.0,de,2
Gaspreisbremse.,Gaspreisbremse.,ORG,0.35,0.25,de,2
DAX-Konzern,DAX-Konzern,ORG,-0.7,0.0,de,2
Containerterminal-Deal,Containerterminal-Deal,ORG,-1.0,0.0,de,2
Ruhrgas AG,Ruhrgas AG,ORG,0.0,0.0,de,2
europäische Gasbörse,europäische Gasbörse,ORG,0.0,0.0,de,2
