,phrase,label,sentiment,subjectivity,language,count
Wladimir Putin,Wladimir Putin,PER,0.030148205928237113,0.046801872074883004,de,641
Olaf Scholz,Olaf Scholz,PER,0.08270042194092826,0.038502109704641345,de,316
Robert Habeck,Robert Habeck,PER,0.06364247311827954,0.03125,de,248
Wolodymyr Selenskyj,Wolodymyr Selenskyj,PER,0.06414930555555555,0.05381944444444445,de,192
Jewgeni Prigoschin,Jewgeni Prigoschin,PER,-0.08251633986928106,0.06339869281045751,de,102
Joe Biden,Joe Biden,PER,0.06764705882352941,0.041176470588235294,de,85
Xi Jinping,Xi Jinping,PER,0.12791666666666665,0.025,de,80
Markus Söder,Markus Söder,PER,-0.06907894736842106,0.04473684210526316,de,76
Klaus Müller,Klaus Müller,PER,0.1345588235294118,0.0661764705882353,de,68
Christian Lindner,Christian Lindner,PER,0.20099502487562193,0.02736318407960199,de,67
Thomas Tuchel,Thomas Tuchel,PER,0.04242424242424242,0.08585858585858586,de,66
Annalena Baerbock,Annalena Baerbock,PER,0.03576923076923077,0.015384615384615385,de,65
Harry Kane,Harry Kane,PER,-0.08217054263565891,0.046511627906976744,de,43
Manuel Neuer,Manuel Neuer,PER,0.12041666666666664,0.05,de,40
Julian Nagelsmann,Julian Nagelsmann,PER,0.20512820512820512,0.02564102564102564,de,39
Thomas Müller,Thomas Müller,PER,0.2175675675675676,0.013513513513513514,de,37
Gabor Steingart,Gabor Steingart,PER,-0.17027027027027025,0.013513513513513514,de,37
Hubert Seipel,Hubert Seipel,PER,-0.03238095238095238,0.0,de,35
Hubert Aiwanger,Hubert Aiwanger,PER,0.040000000000000015,0.05714285714285714,de,35
Wagner-Chef Prigoschin,Wagner-Chef Prigoschin,PER,-0.038709677419354833,0.07526881720430106,de,31
Angela Merkel,Angela Merkel,PER,0.058064516129032254,0.07741935483870968,de,31
Oliver Kahn,Oliver Kahn,PER,0.2138888888888889,0.027777777777777776,de,30
Emmanuel Macron,Emmanuel Macron,PER,0.10576923076923077,0.1,de,26
Michael Kretschmer,Michael Kretschmer,PER,-0.22833333333333333,0.018000000000000002,de,25
Kim Jong-un,Kim Jong-un,PER,0.06933333333333333,0.044000000000000004,de,25
Wladimir Putins,Wladimir Putins,PER,0.049999999999999996,0.020833333333333332,de,24
Jewgenij Prigoschin,Jewgenij Prigoschin,PER,0.14583333333333334,0.22916666666666666,de,24
Recep Tayyip Erdogan,Recep Tayyip Erdogan,PER,0.16666666666666666,0.041666666666666664,de,24
Greta Thunberg,Greta Thunberg,PER,-0.14782608695652175,0.0,de,23
Gerhard Schröder,Gerhard Schröder,PER,0.0,0.043478260869565216,de,23
Uli Hoeneß,Uli Hoeneß,PER,0.2409090909090909,0.09090909090909091,de,22
Ursula von der Leyen,Ursula von der Leyen,PER,0.10909090909090909,0.0,de,22
Karl Lauterbach,Karl Lauterbach,PER,-0.07272727272727272,0.045454545454545456,de,22
Elon Musk,Elon Musk,PER,-0.12142857142857141,0.04285714285714286,de,21
Söldnergruppe Wagner,Söldnergruppe Wagner,PER,0.02041666666666666,0.0,de,20
Kim Jong Un,Kim Jong Un,PER,0.034999999999999996,0.0,de,20
