,Krise,Energietransitionen,Russland,Energiepolitik,Winter
2022-01-11,1,0,0,0,0
2022-01-28,1,0,0,0,0
2022-01-31,0,1,0,0,0
2022-02-01,1,1,0,0,0
2022-02-02,2,1,0,1,0
2022-02-03,0,1,0,0,1
2022-02-21,0,1,0,0,0
2022-02-24,0,0,1,0,0
2022-03-17,1,1,0,0,0
2022-03-19,0,1,1,0,0
2022-03-23,0,1,1,0,0
2022-03-28,0,1,0,0,0
2022-03-30,0,1,0,0,0
2022-04-04,1,0,0,0,1
2022-04-06,0,1,0,0,0
2022-04-12,1,0,0,0,0
2022-04-13,0,1,1,0,0
2022-04-19,0,1,1,0,0
2022-04-27,0,1,0,0,0
2022-04-30,0,2,0,0,0
2022-05-01,0,1,1,0,0
2022-05-05,0,1,0,0,0
2022-05-10,1,0,0,0,0
2022-05-11,0,2,1,0,0
2022-05-16,1,0,0,0,0
2022-05-19,0,0,1,0,0
2022-05-25,0,2,1,0,0
2022-05-27,0,1,0,0,0
2022-06-07,1,0,0,0,1
2022-06-15,0,1,0,0,0
2022-06-17,0,2,0,0,1
2022-06-18,0,1,0,0,1
2022-06-19,0,1,0,0,0
2022-06-21,0,1,0,0,0
2022-06-28,0,1,0,0,0
2022-06-29,0,1,0,0,0
2022-06-30,0,0,0,0,0
2022-07-01,0,1,1,0,0
2022-07-03,0,1,1,0,1
2022-07-04,0,4,1,1,0
2022-07-05,0,0,0,0,0
2022-07-08,0,4,1,0,0
2022-07-09,0,1,0,0,0
2022-07-10,0,2,0,0,0
2022-07-12,0,5,0,2,1
2022-07-13,0,2,0,0,0
2022-07-14,0,2,0,0,1
2022-07-15,0,1,0,0,1
2022-07-17,0,1,0,0,1
2022-07-18,2,1,0,0,1
2022-07-19,0,3,0,0,2
2022-07-20,0,0,0,0,0
2022-07-21,0,1,0,1,0
2022-07-22,0,2,2,2,0
2022-07-24,1,2,0,0,0
2022-07-25,1,3,0,0,1
2022-07-26,0,1,1,2,0
2022-07-28,1,1,0,0,1
2022-07-31,1,2,0,0,2
2022-08-02,0,0,0,1,0
2022-08-04,0,0,0,1,0
2022-08-05,1,2,1,1,0
2022-08-09,1,1,0,0,1
2022-08-10,1,1,1,1,2
2022-08-11,0,1,0,0,0
2022-08-14,1,2,0,0,1
2022-08-16,0,1,1,0,0
2022-08-17,0,1,0,0,0
2022-08-18,0,1,0,0,0
2022-08-22,1,0,0,0,0
2022-08-23,1,2,1,0,0
2022-08-24,0,2,0,0,0
2022-08-25,1,1,0,0,1
2022-08-27,0,2,0,0,1
2022-08-28,0,1,1,0,0
2022-08-29,0,1,0,0,0
2022-08-31,0,1,0,0,1
2022-09-01,0,1,0,0,0
2022-09-02,0,0,1,0,0
2022-09-05,0,2,0,0,1
2022-09-06,0,1,0,0,0
2022-09-07,1,2,1,0,2
2022-09-10,0,1,1,0,0
2022-09-12,0,1,0,0,0
2022-09-15,0,2,0,0,0
2022-09-19,1,2,1,0,1
2022-09-20,0,2,0,0,0
2022-09-21,0,3,1,1,1
2022-09-22,0,1,0,0,0
2022-09-24,0,0,1,1,0
2022-09-25,1,3,0,1,1
2022-09-26,5,6,2,1,0
2022-09-27,4,10,3,1,0
2022-09-28,5,9,0,2,2
2022-09-29,7,24,2,1,3
2022-09-30,12,13,1,2,4
2022-10-01,4,5,0,0,1
2022-10-02,3,11,0,0,1
2022-10-03,4,7,0,1,3
2022-10-04,5,7,2,2,2
2022-10-05,1,15,3,3,1
2022-10-06,2,21,3,1,3
2022-10-07,3,23,3,1,4
2022-10-08,2,10,1,0,4
2022-10-09,3,5,15,2,4
2022-10-10,2,37,5,3,8
2022-10-11,4,19,6,0,14
2022-10-12,15,25,18,5,8
2022-10-13,16,50,9,8,8
2022-10-14,11,21,12,3,9
2022-10-15,3,11,2,4,3
2022-10-16,9,11,3,1,5
2022-10-17,10,21,5,1,3
2022-10-18,16,27,8,2,8
2022-10-19,11,30,6,6,11
2022-10-20,17,55,25,7,14
2022-10-21,15,52,8,4,6
2022-10-22,3,11,24,2,5
2022-10-23,3,9,12,1,4
2022-10-24,11,35,16,1,5
2022-10-25,13,37,10,5,12
2022-10-26,15,22,35,11,5
2022-10-27,21,30,18,15,6
2022-10-28,21,15,21,10,5
2022-10-29,6,12,20,7,13
2022-10-30,2,18,8,3,5
2022-10-31,20,42,12,4,12
2022-11-01,12,30,11,4,2
2022-11-02,17,39,8,4,17
2022-11-03,15,26,9,2,7
2022-11-04,16,28,8,4,8
2022-11-05,13,16,12,3,15
2022-11-06,6,17,22,6,5
2022-11-07,14,27,12,4,8
2022-11-08,16,26,18,5,9
2022-11-09,20,27,8,3,12
2022-11-10,17,41,9,10,10
2022-11-11,15,20,9,5,9
2022-11-12,3,10,5,4,3
2022-11-13,5,8,6,4,0
2022-11-14,13,27,14,6,8
2022-11-15,21,35,18,12,11
2022-11-16,16,30,9,7,5
2022-11-17,16,16,8,3,8
2022-11-18,26,38,5,4,31
2022-11-19,8,7,10,6,16
2022-11-20,5,13,1,1,6
2022-11-21,15,20,7,7,8
2022-11-22,9,20,5,3,7
2022-11-23,11,15,24,6,10
2022-11-24,39,52,33,38,25
2022-11-25,20,31,22,15,9
2022-11-26,12,11,11,5,4
2022-11-27,1,7,15,6,7
2022-11-28,10,10,22,13,11
2022-11-29,17,29,21,10,11
2022-11-30,9,26,11,6,5
2022-12-01,14,31,16,5,14
2022-12-02,14,38,7,24,5
2022-12-03,6,34,12,6,9
2022-12-04,3,19,13,9,7
2022-12-05,11,37,22,10,15
2022-12-06,14,19,8,6,9
2022-12-07,6,8,7,8,3
2022-12-08,9,17,20,11,9
2022-12-09,15,20,22,15,12
2022-12-10,6,12,2,5,8
2022-12-11,3,13,29,17,9
2022-12-12,11,31,7,10,23
2022-12-13,34,20,5,9,9
2022-12-14,12,27,13,4,12
2022-12-15,19,28,3,3,11
2022-12-16,16,33,9,3,20
2022-12-17,4,11,22,5,9
2022-12-18,9,6,2,1,1
2022-12-19,16,44,11,20,7
2022-12-20,11,20,5,22,9
2022-12-21,16,21,8,8,9
2022-12-22,12,14,7,5,8
2022-12-23,18,15,12,9,8
2022-12-24,7,4,3,2,7
2022-12-25,6,8,8,3,7
2022-12-26,4,5,23,16,8
2022-12-27,9,8,9,7,6
2022-12-28,6,18,14,6,9
2022-12-29,20,12,16,5,3
2022-12-30,5,9,6,8,0
2022-12-31,2,2,6,1,1
2023-01-01,5,7,26,19,4
2023-01-02,5,6,5,3,9
2023-01-03,22,9,29,22,2
2023-01-04,11,10,8,10,6
2023-01-05,3,9,12,15,6
2023-01-06,8,5,15,15,3
2023-01-07,0,1,1,5,1
2023-01-08,3,6,2,3,7
2023-01-09,1,3,5,6,5
2023-01-10,12,13,25,4,15
2023-01-11,4,9,4,7,7
2023-01-12,25,12,5,7,4
2023-01-13,5,14,19,7,6
2023-01-14,4,2,4,1,3
2023-01-15,1,4,13,4,1
2023-01-16,6,9,24,6,4
2023-01-17,5,8,30,19,5
2023-01-18,4,7,19,15,5
2023-01-19,12,13,6,12,7
2023-01-20,4,7,8,14,14
2023-01-21,1,1,3,7,1
2023-01-22,4,7,12,6,4
2023-01-23,2,10,22,7,4
2023-01-24,2,5,4,8,5
2023-01-25,5,4,4,4,3
2023-01-26,14,14,3,6,6
2023-01-27,5,22,17,5,3
2023-01-28,3,9,17,10,6
2023-01-29,3,5,5,12,1
2023-01-30,4,12,1,6,2
2023-01-31,13,17,2,25,7
2023-02-01,9,15,4,1,3
2023-02-02,22,26,14,15,5
2023-02-03,7,7,2,6,10
2023-02-04,3,5,4,30,2
2023-02-05,4,14,29,14,7
2023-02-06,3,5,12,12,2
2023-02-07,6,10,4,7,5
2023-02-08,3,7,7,5,2
2023-02-09,15,14,14,2,5
2023-02-10,14,13,13,4,4
2023-02-11,1,2,3,0,2
2023-02-12,4,4,25,8,3
2023-02-13,6,3,10,19,5
2023-02-14,5,8,7,2,1
2023-02-15,8,14,12,18,4
2023-02-16,8,7,3,6,7
2023-02-17,13,10,7,37,10
2023-02-18,3,1,3,5,2
2023-02-19,3,11,10,10,4
2023-02-20,6,8,16,5,7
2023-02-21,5,9,27,20,4
2023-02-22,12,13,13,10,2
2023-02-23,8,10,18,12,2
2023-02-24,6,5,39,23,1
2023-02-25,2,5,12,10,10
2023-02-26,1,3,7,13,6
2023-02-27,3,5,4,9,8
2023-02-28,4,21,3,13,2
2023-03-01,13,14,5,4,7
2023-03-02,23,28,6,4,6
2023-03-03,5,14,6,4,1
2023-03-04,1,11,13,5,0
2023-03-05,4,17,19,14,2
2023-03-06,12,19,8,14,3
2023-03-07,2,6,5,5,3
2023-03-08,3,8,9,4,3
2023-03-09,7,17,9,5,0
2023-03-10,7,10,15,12,1
2023-03-11,4,0,13,3,1
2023-03-12,2,4,8,2,0
2023-03-13,3,10,9,5,0
2023-03-14,9,14,16,13,1
2023-03-15,5,9,6,15,3
2023-03-16,5,6,5,5,1
2023-03-17,5,11,40,46,0
2023-03-18,0,5,4,12,2
2023-03-19,4,5,20,21,5
2023-03-20,4,17,10,15,0
2023-03-21,2,9,4,22,1
2023-03-22,10,10,2,19,1
2023-03-23,7,9,8,6,3
2023-03-24,6,12,4,5,0
2023-03-25,1,4,31,40,1
2023-03-26,4,4,5,4,3
2023-03-27,5,0,2,15,3
2023-03-28,3,7,2,7,1
2023-03-29,11,8,7,7,1
2023-03-30,24,23,6,8,8
2023-03-31,8,11,10,33,6
2023-04-01,5,8,2,5,0
2023-04-02,1,4,4,1,0
